Statistical profiling result from isolate-00000206CD5EB760-v8.log, (17389 ticks, 46 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Handler: next {514}
      1    0.0%    0.0%  Handler: next {512}
      1    0.0%    0.0%  Handler: next {511}
      1    0.0%    0.0%  Handler: next {510}
      1    0.0%    0.0%  Handler: next {50}
      1    0.0%    0.0%  Handler: next {509}
      1    0.0%    0.0%  Handler: next {508}
      1    0.0%    0.0%  Handler: next {507}
      1    0.0%    0.0%  Handler: next {506}
      1    0.0%    0.0%  Handler: next {505}
      1    0.0%    0.0%  Handler: next {504}
      1    0.0%    0.0%  Handler: next {502}
      1    0.0%    0.0%  Handler: next {501}
      1    0.0%    0.0%  Handler: next {49}
      1    0.0%    0.0%  Handler: next {499}
      1    0.0%    0.0%  Handler: next {498}
      1    0.0%    0.0%  Handler: next {496}
      1    0.0%    0.0%  Handler: next {495}
      1    0.0%    0.0%  Handler: next {494}
      1    0.0%    0.0%  Handler: next {492}
      1    0.0%    0.0%  Handler: next {491}
      1    0.0%    0.0%  Handler: next {48}
      1    0.0%    0.0%  Handler: next {489}
      1    0.0%    0.0%  Handler: next {488}
      1    0.0%    0.0%  Handler: next {486}
      1    0.0%    0.0%  Handler: next {485}
      1    0.0%    0.0%  Handler: next {484}
      1    0.0%    0.0%  Handler: next {483}
      1    0.0%    0.0%  Handler: next {482}
      1    0.0%    0.0%  Handler: next {481}
      1    0.0%    0.0%  Handler: next {480}
      1    0.0%    0.0%  Handler: next {47}
      1    0.0%    0.0%  Handler: next {479}
      1    0.0%    0.0%  Handler: next {476}
      1    0.0%    0.0%  Handler: next {475}
      1    0.0%    0.0%  Handler: next {473}
      1    0.0%    0.0%  Handler: next {472}
      1    0.0%    0.0%  Handler: next {471}
      1    0.0%    0.0%  Handler: next {470}
      1    0.0%    0.0%  Handler: next {469}
      1    0.0%    0.0%  Handler: next {466}
      1    0.0%    0.0%  Handler: next {464}
      1    0.0%    0.0%  Handler: next {460}
      1    0.0%    0.0%  Handler: next {45}
      1    0.0%    0.0%  Handler: next {459}
      1    0.0%    0.0%  Handler: next {457}
      1    0.0%    0.0%  Handler: next {455}
      1    0.0%    0.0%  Handler: next {454}
      1    0.0%    0.0%  Handler: next {453}
      1    0.0%    0.0%  Handler: next {451}
      1    0.0%    0.0%  Handler: next {44}
      1    0.0%    0.0%  Handler: next {449}
      1    0.0%    0.0%  Handler: next {448}
      1    0.0%    0.0%  Handler: next {447}
      1    0.0%    0.0%  Handler: next {444}
      1    0.0%    0.0%  Handler: next {443}
      1    0.0%    0.0%  Handler: next {442}
      1    0.0%    0.0%  Handler: next {441}
      1    0.0%    0.0%  Handler: next {43}
      1    0.0%    0.0%  Handler: next {439}
      1    0.0%    0.0%  Handler: next {438}
      1    0.0%    0.0%  Handler: next {437}
      1    0.0%    0.0%  Handler: next {436}
      1    0.0%    0.0%  Handler: next {435}
      1    0.0%    0.0%  Handler: next {434}
      1    0.0%    0.0%  Handler: next {433}
      1    0.0%    0.0%  Handler: next {425}
      1    0.0%    0.0%  Handler: next {424}
      1    0.0%    0.0%  Handler: next {423}
